time	V(vout)
5.000000000000000e-03	9.929559e-02
Step Information: Run=34  (Step: 34/1000)
0.000000000000000e+00	8.813955e-02
4.885901307349554e-03	8.813955e-02
4.998205994849551e-03	8.813955e-02
5.000000000000000e-03	8.813955e-02
Step Information: Run=35  (Step: 35/1000)
0.000000000000000e+00	1.045367e-01
4.885901307349554e-03	1.045367e-01
4.998205994849551e-03	1.045367e-01
5.000000000000000e-03	1.045367e-01
Step Information: Run=36  (Step: 36/1000)
0.000000000000000e+00	1.130564e-01
4.885901307349554e-03	1.130564e-01
4.998205994849551e-03	1.130564e-01
5.000000000000000e-03	1.130564e-01
Step Information: Run=37  (Step: 37/1000)
0.000000000000000e+00	9.592795e-02
4.885901307349554e-03	9.592795e-02
4.998205994849551e-03	9.592795e-02
5.000000000000000e-03	9.592795e-02
Step Information: Run=38  (Step: 38/1000)
0.000000000000000e+00	8.752452e-02
4.885901307349554e-03	8.752452e-02
4.998205994849551e-03	8.752452e-02
5.000000000000000e-03	8.752452e-02
Step Information: Run=39  (Step: 39/1000)
0.000000000000000e+00	1.004492e-01
4.885901307349554e-03	1.004492e-01
4.998205994849551e-03	1.004492e-01
5.000000000000000e-03	1.004492e-01
Step Information: Run=40  (Step: 40/1000)
0.000000000000000e+00	9.793516e-02
4.885901307349554e-03	9.793516e-02
4.998205994849551e-03	9.793516e-02
5.000000000000000e-03	9.793516e-02
Step Information: Run=41  (Step: 41/1000)
0.000000000000000e+00	1.209773e-01
4.885901307349554e-03	1.209773e-01
4.998205994849551e-03	1.209773e-01
5.000000000000000e-03	1.209773e-01
Step Information: Run=42  (Step: 42/1000)
0.000000000000000e+00	9.761814e-02
4.885901307349554e-03	9.761814e-02
4.998205994849551e-03	9.761814e-02
5.000000000000000e-03	9.761814e-02
Step Information: Run=43  (Step: 43/1000)
0.000000000000000e+00	1.185632e-01
4.885901307349554e-03	1.185632e-01
4.998205994849551e-03	1.185632e-01
5.000000000000000e-03	1.185632e-01
Step Information: Run=44  (Step: 44/1000)
0.000000000000000e+00	9.515730e-02
4.885901307349554e-03	9.515730e-02
4.998205994849551e-03	9.515730e-02
5.000000000000000e-03	9.515730e-02
Step Information: Run=45  (Step: 45/1000)
0.000000000000000e+00	1.087076e-01
4.885901307349554e-03	1.087076e-01
4.998205994849551e-03	1.087076e-01
5.000000000000000e-03	1.087076e-01
Step Information: Run=46  (Step: 46/1000)
0.000000000000000e+00	8.402387e-02
4.885901307349554e-03	8.402387e-02
4.998205994849551e-03	8.402387e-02
5.000000000000000e-03	8.402387e-02
Step Information: Run=47  (Step: 47/1000)
0.000000000000000e+00	1.037851e-01
4.885901307349554e-03	1.037851e-01
4.998205994849551e-03	1.037851e-01
5.000000000000000e-03	1.037851e-01
Step Information: Run=48  (Step: 48/1000)
0.000000000000000e+00	9.156352e-02
4.885901307349554e-03	9.156352e-02
